+1Pl/3	+1Pl/3
+1Sg/2Sg	+1Sg/2Sg
+1Sg/3Pl	+1Sg/3Pl
+1Sg/3Sg	+1Sg/3Sg
+2N	+2N
+2Pl/3	+2Pl/3
+2Sg/1Sg	+2Sg/1Sg
+2Sg/3Pl	+2Sg/3Pl
+2Sg/3Sg	+2Sg/3Sg
+2V	+2V
+3Pl/3	+3Pl/3
+3Sg/1Sg	+3Sg/1Sg
+3Sg/2Sg	+3Sg/2Sg
+3Sg/3Pl	+3Sg/3Pl
+3Sg/3Sg	+3Sg/3Sg
+A	+Прил
+ABBR	+fork
+ACC	+ПрилCC
+ACR	+ПрилCR
+Abe	+Прилbe
+Abl	+Прилbl
+Abs	+Прилbs
+ActDemPtc	+aktDemPtc
+AdA	+ПрилdA
+Adj	+Прилdj
+Adn	+Прилdn
+Adv	+Нар
+Adv-Ideoph	+Нар-Ideoph
+Anim	+Прилnim
+Appr	+Прилppr
+Attr	+Прилttr
+Bahuvrihi	+Bahuvrihi
+CC	+Союз
+CLB	+setngr
+COM	+COM
+CS	+subjunksjon
+Capitalizing	+Capitalizing
+Card	+Порядк
+Clt	+klitikon
+Clt/Га	+klitikon/Га
+Clt/Гака	+klitikon/Гака
+Clt/Гакая	+klitikon/Гакая
+Clt/Гатя	+klitikon/Гатя
+Clt/Гая	+klitikon/Гая
+Clt/Гаять	+klitikon/Гаять
+Clt/Гаятя	+klitikon/Гаятя
+Clt/гак	+klitikon/гак
+Cmp	+Cmp
+CmpTest	+CmpTest
+Cmpl	+Cmpl
+Cnt	+Cnt
+Coll	+Coll
+Com	+Совм
+Comp	+Срав
+Compar	+Сравar
+ConNeg	+Отрицательные форм
+Cond	+Cond
+Conj	+Conj
+DAT	+DAT
+DatCx	+DatCx
+Def	+Def
+Default/1	+Default/1
+Default/2	+Default/2
+Deict	+Deict
+Delib	+Delib
+Dem	+Указат
+Der	+Der
+Der/Abe	+Der/Abe
+Der/Comp	+Der/Comp
+Der/Dem	+Der/Dem
+Der/Gen	+Der/Gen
+Der/MWN	+Der/MWN
+Der/Гак	+Der/Гак
+Der/Овт	+Der/Овт
+Der/Озь	+Der/Озь
+Der/ОмА	+Der/ОмА
+Der/ОмО	+Der/ОмО
+Der/Ома	+Der/Ома
+Der/Омга	+Der/Омга
+Der/ОмдО	+Der/ОмдО
+Der/Омка	+Der/Омка
+Der/Омс	+Der/Омс
+Der/ОмсО	+Der/ОмсО
+Der/ОмстО	+Der/ОмстО
+Der/Ы	+Der/Ы
+Der/Ый	+Der/Ый
+Der/Ыне	+Der/Ыне
+Der/Ынька	+Der/Ынька
+Der/Ынькине	+Der/Ынькине
+Der/Ыця	+Der/Ыця
+Der/Ыя	+Der/Ыя
+Der/ай	+Der/ай
+Der/бути	+Der/бути
+Der/ка	+Der/ка
+Der/кай	+Der/кай
+Der/ке	+Der/ке
+Der/кой	+Der/кой
+Der/кшнО	+Der/кшнО
+Der/нЕ	+Der/нЕ
+Der/не	+Der/не
+Der/пель	+Der/пель
+Der/се	+Der/се
+Der/та	+Der/та
+Der/таго	+Der/таго
+Der/чи	+Der/чи
+Des	+Des
+Descr	+Descr
+Det	+Det
+Dial	+Dial
+Dial/SH	+Dial/SH
+Dig1	+Dig1
+Dig2	+Dig2
+Dig3	+Dig3
+Dig4	+Dig4
+Dim	+Dim
+DimKE	+DimKE
+DimNE	+DimNE
+Distr	+Distr
+Duration	+Duration
+Ela	+Лишит
+Ellips	+Ellips
+Emphatic	+Emphatic
+Err	+Err
+Event	+Event
+Exclusive	+Exclusive
+Familiar	+Familiar
+Fem	+Fem
+Fin	+Fin
+Fut	+буд
+Fut1	+буд1
+Gen	+Род
+Ger	+Деепр
+Gr2000	+Gr2000
+HstPluPrf	+HstPluPrf
+HstPrf	+HstPrf
+Hum	+Hum
+Ill	+Вступ
+Imp	+Imp
+Imprt	+Повелительн
+Inanim	+Inanim
+Ind	+изъявит
+Indef	+Неопред
+Ine	+Mестн
+Inf	+Неопределенн
+Instr	+Твор
+Intensifier	+Intensifier
+Intensive	+Intensive
+Interj	+Межд
+Interr	+Вопр
+Iter	+Iter
+LEFT	+LEFT
+LV	+LV
+Loc	+Местн
+Mal	+Mal
+Manner	+Manner
+N	+Сущ
+NCom	+СущCom
+NCrd	+СущCrd
+NOrd	+СущOrd
+NPrp	+СущPrp
+Neg	+Отрицательный
+NoPoss	+СущoPoss
+NoPredx	+СущoPredx
+Nom	+Им
+NomGen	+ИмGen
+NonHum	+СущonHum
+NonNomSg	+СущonNomSg
+NonPast	+СущonPast
+Noun	+Сущoun
+Num	+Числ
+Obj	+Obj
+Oblig	+Oblig
+Obliq	+Obliq
+OcPl1	+OcPl1
+OcPl2	+OcPl2
+OcPl3	+OcPl3
+OcSg1	+OcSg1
+OcSg2	+OcSg2
+OcSg3	+OcSg3
+Onom	+Onom
+Opt	+Opt
+Ord	+Ord
+Org	+Org
+PUNCT	+skiljeteikn
+Patr	+Patr
+PatronymM	+PatronymM
+Pcle	+Частиц
+Pers	+Личн
+Pl	+мн
+Pl1	+1мн
+Pl2	+2мн
+Pl3	+3мн
+Plc	+мнc
+PluPrf	+мнuPrf
+Po	+Посл
+Pos	+Послs
+Poss	+Послss
+PossPX	+ПослssPX
+Pred	+Предлed
+Prf	+Предлf
+PrfIpf	+ПредлfIpf
+Prl	+Предлl
+Pron	+Мест
+Prop	+Собст
+Prs	+наст
+Prt1	+продш1
+Prt2	+продш2
+Ptc	+Ptc
+PxPl1	+Прит1мн
+PxPl2	+Прит2мн
+PxPl3	+Прит3мн
+PxSg1	+Прит1ед
+PxSg2	+Прит2ед
+PxSg3	+Прит3ед
+Qnt	+Qnt
+RIGHT	+RIGHT
+Recipr	+Взаим
+Refl	+Возвр
+Rel	+Относит
+Rom	+Rom
+ScPl1	+ScPl1
+ScPl2	+ScPl2
+ScPl3	+ScPl3
+ScSg1	+ScSg1
+ScSg2	+ScSg2
+ScSg3	+ScSg3
+SerialVerb	+SerialVerb
+Sg	+ед
+Sg1	+1ед
+Sg2	+2ед
+Sg3	+3ед
+Short	+Short
+Spat	+Spat
+Spat-1Arg	+Spat-1Arg
+Spat-NoArg	+Spat-NoArg
+Src/F	+Src/F
+State	+State
+Stem/е	+Stem/е
+Stem/э	+Stem/э
+Subj	+Subj
+Superl	+Прев
+Sur	+Sur
+SurnameF	+SurnameF
+SurnameM	+SurnameM
+TLoss	+TLoss
+Telic	+Telic
+Temp	+Temp
+Temp-1Arg	+Temp-1Arg
+Temp-NoArg	+Temp-NoArg
+TempCx	+TempCx
+Top	+Top
+Tra	+Tra
+Use/Sub	+Use/Sub
+Use/Sub/Dial	+Use/Sub/Dial
+Use/Sub/PhonComb	+Use/Sub/PhonComb
+Use/Sub/PhonDeriv	+Use/Sub/PhonDeriv
+Use/Sub/PhonInfl	+Use/Sub/PhonInfl
+V	+Гл
+V1	+Гл1
+V1VU	+Гл1VU
+V2	+Гл2
+V2Nma	+Гл2Nma
+V3	+Гл3
+VGen	+ГлGen
+VLoss	+ГлLoss
+Verb	+Глerb
+Voc	+Глoc
+Voicing	+Глoicing
+WORK	+WORK
+ZeroColl	+ZeroColl
Multichar_Symbols	Multichar_Symbols
TLoss	TLoss
VLoss	VLoss
WLoss	WLoss
ZERO	ZERO
